iter	Logloss
0	0.6761126375
1	0.6596645364
2	0.6430391038
3	0.6247658308
4	0.6095491208
5	0.5915295829
6	0.5756130249
7	0.5604056414
8	0.5448692807
9	0.5306568267
10	0.5185299416
11	0.5055386717
12	0.4915020831
13	0.4791775035
14	0.4686563742
15	0.4577263568
16	0.445628923
17	0.4353393099
18	0.4249439224
19	0.41574281
20	0.4059116438
21	0.3975989024
22	0.3894932984
23	0.3814504081
24	0.3738998072
25	0.3658828892
26	0.3585890719
27	0.3519784207
28	0.3442266332
29	0.3372303659
30	0.3300011326
31	0.3239249518
32	0.3173055705
33	0.3117164536
34	0.3058717216
35	0.3002151044
36	0.2940827462
37	0.2880839632
38	0.2820779921
39	0.2768548332
40	0.2713049634
41	0.2656905944
42	0.2609928962
43	0.2557387811
44	0.2514178857
45	0.2467634595
46	0.2422170304
47	0.2374030274
48	0.233773386
49	0.2299445666
50	0.2264644809
51	0.2229963136
52	0.2194472055
53	0.2161690294
54	0.2128151865
55	0.2088021402
56	0.2049878699
57	0.2018212624
58	0.1995839109
59	0.1971200978
60	0.1944477311
61	0.1916345174
62	0.1889945861
63	0.1868622287
64	0.1842529752
65	0.182093518
66	0.1799815446
67	0.1777780212
68	0.1756014327
69	0.1735917091
70	0.1713370077
71	0.1690935629
72	0.1668893345
73	0.1650421908
74	0.1632632161
75	0.1613752899
76	0.1597907464
77	0.1584448797
78	0.1567122327
79	0.1555360623
80	0.1540627972
81	0.1525207067
82	0.1506548917
83	0.1491118212
84	0.1477740252
85	0.146483202
86	0.145333684
87	0.1440824124
88	0.1427975559
89	0.1412558906
90	0.1401002613
91	0.1387890162
92	0.137329864
93	0.1364860917
94	0.1353619254
95	0.1340218923
96	0.1329468037
97	0.1317185434
98	0.1306880467
99	0.1299204373
100	0.1289448979
101	0.1280927789
102	0.1270314616
103	0.1260255339
104	0.1252155676
105	0.1241197423
106	0.122937631
107	0.1219144208
108	0.1209978888
109	0.1204346805
110	0.1197074248
111	0.1187888042
112	0.1182899298
113	0.1175856892
114	0.1169366312
115	0.1161225218
116	0.1153334501
117	0.1146698362
118	0.1138833274
119	0.1131726721
120	0.1124875469
121	0.1119022601
122	0.1109203904
123	0.1101886101
124	0.1097369105
125	0.109065452
126	0.1085489572
